% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
115	1	36	5	0	6	75	0	1	1
115	1	38	8	0	0	19	0	1	1
115	1	46	10	0	0	19	0	1	0
115	1	33	12	0	20	293	0	1	0
115	1	40	13	0	28	549	0	1	0
115	1	32	15	0	28	549	0	1	0
115	1	34	16	0	28	549	0	1	0
115	1	35	18	0	28	549	0	1	0
115	1	37	20	0	28	549	0	1	0
116	3	20	3	0	8	349	0	1	1
116	3	15	4	0	10	389	0	1	1
116	3	14	7	0	6	261	0	1	1
116	3	13	9	0	4	177	0	1	0
116	3	12	10	0	12	501	0	1	0
116	4	26	1	0	4	97	0	1	0
116	4	23	2	0	10	217	0	1	0
116	4	25	3	0	6	141	0	1	1
116	4	28	5	0	18	453	0	1	1
116	4	29	6	0	0	36	0	1	1
116	4	24	7	0	6	141	0	1	1
116	4	22	8	0	8	193	0	1	1
116	4	27	9	0	2	59	0	1	0
116	4	21	12	0	6	141	0	1	1
116	1	47	1	0	12	149	0	1	1
116	1	39	2	0	18	241	0	1	1
116	1	36	5	0	6	75	0	1	1
116	1	38	8	0	0	19	0	1	1
116	1	46	10	0	0	19	0	1	0
116	1	33	12	0	20	293	0	1	1
116	1	40	13	0	28	549	0	1	0
116	1	32	15	0	28	549	0	1	0
116	1	34	16	0	28	549	0	1	1
116	1	35	18	0	28	549	0	1	0
116	1	37	20	0	28	549	0	1	0
117	3	20	3	0	8	349	0	1	1
117	3	15	4	0	10	389	0	1	1
117	3	14	7	0	6	261	0	1	1
117	3	13	9	0	4	177	0	1	0
117	3	12	10	0	12	501	0	1	0
117	4	26	1	0	4	105	0	1	1
117	4	23	2	0	10	233	0	1	0
117	4	25	3	0	6	153	0	1	1
117	4	29	6	0	0	41	0	1	1
117	4	24	7	0	6	153	0	1	1
117	4	22	8	0	8	209	0	1	1
117	4	27	9	0	2	65	0	1	1
117	4	21	12	0	6	153	0	1	1
117	1	47	1	0	12	225	0	1	1
117	1	39	2	0	18	373	0	1	1
117	1	36	5	0	6	117	0	1	1
117	1	38	8	0	0	28	0	1	1
117	1	46	10	0	0	28	0	1	1
