% time	cellId	IMSI	RNTI	sinrLinear
0.213	1	40	13	978.433
0.214	1	44	14	2182.14
0.215	1	32	15	4884.52
0.216	1	34	16	676.62
0.217	1	50	17	738.89
0.218	1	35	18	1294.59
0.219	1	48	19	927.627
0.22	1	37	20	51577.1
0.221	2	5	21	7584.53
0.224	3	18	24	5258.85
0.228	2	6	28	5.77731
0.228	3	16	28	6.79954
0.237	3	19	37	3960.08
0.238	3	17	42	4415.77
0.241	2	2	1	16.4462
0.241	3	11	41	0.568574
0.241	4	26	1	0.141689
0.241	1	47	1	9.78105
0.242	4	23	2	9.42354
0.242	1	39	2	37.8516
0.243	2	4	3	17.1492
0.243	3	20	3	6.22199
0.243	4	25	3	4.01611
0.243	1	49	3	0.111843
0.244	3	15	4	8.78572
0.244	1	31	4	0.258306
0.245	2	1	5	15.9816
0.245	4	28	5	33.5943
0.245	1	36	5	3.75925
0.246	2	3	6	15.8919
0.246	4	29	6	0.782577
0.246	1	45	6	0.52906
0.247	2	7	7	7.6221
0.247	3	14	7	4.82188
0.247	4	24	7	4.54844
0.247	1	43	7	0.431518
0.248	2	8	8	23.3562
0.248	4	22	8	6.04971
0.248	1	38	8	0.664585
0.249	2	9	9	12.5635
0.249	3	13	9	1.74164
0.249	4	27	9	1.17554
0.249	1	42	9	0.231176
0.25	3	12	10	10.9138
0.25	1	46	10	0.643379
0.251	1	41	11	1394.39
0.252	4	21	12	2.96298
0.252	1	33	12	67.4509
0.253	1	40	13	977.055
0.254	1	44	14	2184.01
0.255	1	32	15	4861.67
0.256	1	34	16	677.789
0.257	1	50	17	737.653
0.258	1	35	18	1292.42
0.259	1	48	19	927.434
0.26	1	37	20	51141.5
0.261	2	5	21	7637.32
0.264	3	18	24	5233.11
0.268	2	6	28	5.79271
0.268	3	16	28	6.83558
0.277	3	19	37	3948.52
0.278	3	17	42	4437.05
0.281	2	2	1	16.5971
0.281	3	11	41	0.568797
0.281	4	26	1	0.140856
0.281	1	47	1	9.64918
0.282	4	23	2	9.39825
0.282	1	39	2	37.8414
0.283	2	4	3	17.2139
0.283	3	20	3	6.23098
0.283	4	25	3	4.06952
0.283	1	49	3	0.111989
0.284	3	15	4	8.64485
0.284	1	31	4	0.258431
0.285	2	1	5	15.7763
0.285	4	28	5	33.3195
0.285	1	36	5	3.78472
0.286	2	3	6	15.7473
0.286	4	29	6	0.775956
0.286	1	45	6	0.531223
0.287	2	7	7	7.55814
0.287	3	14	7	4.86838
0.287	4	24	7	4.56855
0.287	1	43	7	0.42995
0.288	2	8	8	23.6136
0.288	4	22	8	6.00619
0.288	1	38	8	0.667949
0.289	2	9	9	12.6614
0.289	3	13	9	1.74063
0.289	4	27	9	1.18707
0.289	1	42	9	0.231449
0.29	3	12	10	10.8998
0.29	1	46	10	0.643858
0.291	1	41	11	1398.13
0.292	4	21	12	2.97247
