% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
824	1	48	19	0	14	3182	0	1
825	1	49	3	0	12	2481	0	1
826	1	31	4	0	12	2481	0	1
827	1	46	10	0	12	2481	0	1
828	1	45	6	0	8	1764	0	1
829	1	44	14	0	6	1287	0	1
830	1	11	22	0	4	903	0	1
831	1	11	22	0	4	903	0	1
905	1	6	27	0	16	3822	0	1
906	1	18	25	0	12	2481	0	1
907	1	19	26	0	26	7708	0	1
908	1	17	24	0	24	6882	0	1
909	1	5	21	0	14	3182	0	1
910	1	16	23	0	6	1287	0	1
911	1	47	1	0	28	9422	0	1
912	1	39	2	0	28	9422	0	1
913	1	36	5	0	28	9422	0	1
914	1	33	12	0	28	9422	0	1
915	1	37	20	0	28	9422	0	1
916	1	38	8	0	22	5861	0	1
917	1	42	9	0	16	3822	0	1
918	1	41	11	0	16	3822	0	1
919	1	32	15	0	24	6882	0	1
920	1	40	13	0	20	4904	0	1
921	1	35	18	0	20	4904	0	1
922	1	43	7	0	18	4107	0	1
923	1	34	16	0	14	3182	0	1
924	1	50	17	0	14	3182	0	1
925	1	48	19	0	14	3182	0	1
926	1	49	3	0	12	2481	0	1
927	1	31	4	0	12	2481	0	1
928	1	46	10	0	12	2481	0	1
929	1	45	6	0	8	1764	0	1
930	1	44	14	0	6	1287	0	1
931	1	11	22	0	4	903	0	1
932	1	11	22	0	4	903	0	1
1005	1	6	27	0	16	3822	0	1
1006	1	18	25	0	12	2481	0	1
1007	1	19	26	0	26	7708	0	1
1008	1	17	24	0	24	6882	0	1
1009	1	5	21	0	14	3182	0	1
1010	1	16	23	0	6	1287	0	1
1011	1	47	1	0	28	9422	0	1
1012	1	41	11	0	18	4107	0	1
1013	1	39	2	0	28	9422	0	1
1014	1	36	5	0	28	9422	0	1
1015	1	33	12	0	28	9422	0	1
1016	1	37	20	0	28	9422	0	1
1017	1	38	8	0	22	5861	0	1
1018	1	42	9	0	16	3822	0	1
1019	1	32	15	0	24	6882	0	1
1020	1	40	13	0	20	4904	0	1
1021	1	35	18	0	20	4904	0	1
1022	1	43	7	0	18	4107	0	1
1023	1	34	16	0	14	3182	0	1
1024	1	50	17	0	14	3182	0	1
1025	1	48	19	0	14	3182	0	1
1026	1	49	3	0	12	2481	0	1
1027	1	31	4	0	12	2481	0	1
1028	1	46	10	0	12	2481	0	1
1029	1	45	6	0	8	1764	0	1
1030	1	44	14	0	6	1287	0	1
1031	1	11	22	0	4	903	0	1
1032	1	11	22	0	4	903	0	1
1105	1	10	28	0	22	5861	0	1
1106	1	30	29	0	10	1980	0	1
1107	1	6	27	0	16	3822	0	1
1108	1	18	25	0	12	2481	0	1
1109	1	19	26	0	26	7708	0	1
1110	1	17	24	0	24	6882	0	1
1111	1	5	21	0	14	3182	0	1
1112	1	47	1	0	28	9422	0	1
1113	1	16	23	0	6	1287	0	1
1114	1	41	11	0	18	4107	0	1
1115	1	39	2	0	28	9422	0	1
1116	1	36	5	0	28	9422	0	1
1117	1	33	12	0	28	9422	0	1
1118	1	37	20	0	28	9422	0	1
1119	1	38	8	0	22	5861	0	1
1120	1	42	9	0	16	3822	0	1
1121	1	32	15	0	24	6882	0	1
1122	1	40	13	0	20	4904	0	1
1123	1	35	18	0	20	4904	0	1
1124	1	43	7	0	18	4107	0	1
1125	1	34	16	0	14	3182	0	1
1126	1	50	17	0	14	3182	0	1
1127	1	48	19	0	14	3182	0	1
1128	1	49	3	0	12	2481	0	1
1129	1	31	4	0	12	2481	0	1
1130	1	46	10	0	12	2481	0	1
1131	1	45	6	0	8	1764	0	1
1132	1	44	14	0	6	1287	0	1
1133	1	11	22	0	4	903	0	1
1134	1	11	22	0	4	903	0	1
1205	1	10	28	0	22	5861	0	1
1206	1	30	29	0	10	1980	0	1
1207	1	6	27	0	16	3822	0	1
1208	1	18	25	0	12	2481	0	1
1209	1	19	26	0	26	7708	0	1
1210	1	17	24	0	24	6882	0	1
1211	1	5	21	0	14	3182	0	1
1212	1	47	1	0	28	9422	0	1
1213	1	41	11	0	18	4107	0	1
1214	1	39	2	0	28	9422	0	1
1215	1	36	5	0	28	9422	0	1
1216	1	16	23	0	6	1287	0	1
1217	1	33	12	0	28	9422	0	1
1218	1	37	20	0	28	9422	0	1
1219	1	38	8	0	22	5861	0	1
1220	1	42	9	0	16	3822	0	1
1221	1	32	15	0	24	6882	0	1
1222	1	40	13	0	20	4904	0	1
1223	1	35	18	0	20	4904	0	1
1224	1	43	7	0	18	4107	0	1
1225	1	34	16	0	14	3182	0	1
1226	1	50	17	0	14	3182	0	1
1227	1	48	19	0	14	3182	0	1
1228	1	49	3	0	12	2481	0	1
1229	1	31	4	0	12	2481	0	1
1230	1	46	10	0	12	2481	0	1
1231	1	45	6	0	8	1764	0	1
1232	1	44	14	0	6	1287	0	1
1233	1	11	22	0	4	903	0	1
1234	1	11	22	0	4	903	0	1
1305	1	10	28	0	22	5861	0	1
1306	1	30	29	0	10	1980	0	1
1307	1	6	27	0	16	3822	0	1
1308	1	18	25	0	12	2481	0	1
1309	1	19	26	0	26	7708	0	1
1310	1	17	24	0	24	6882	0	1
1311	1	5	21	0	14	3182	0	1
1312	1	47	1	0	28	9422	0	1
1313	1	41	11	0	18	4107	0	1
1314	1	39	2	0	28	9422	0	1
1315	1	36	5	0	28	9422	0	1
1316	1	33	12	0	28	9422	0	1
1317	1	37	20	0	28	9422	0	1
1318	1	16	23	0	6	1287	0	1
1319	1	38	8	0	22	5861	0	1
1320	1	42	9	0	16	3822	0	1
1321	1	32	15	0	24	6882	0	1
1322	1	40	13	0	20	4904	0	1
1323	1	35	18	0	20	4904	0	1
1324	1	43	7	0	18	4107	0	1
1325	1	34	16	0	14	3182	0	1
1326	1	50	17	0	14	3182	0	1
1327	1	48	19	0	14	3182	0	1
1328	1	49	3	0	12	2481	0	1
1329	1	31	4	0	12	2481	0	1
1330	1	46	10	0	12	2481	0	1
1331	1	45	6	0	8	1764	0	1
1332	1	44	14	0	6	1287	0	1
1333	1	11	22	0	4	903	0	1
1334	1	11	22	0	4	903	0	1
1405	1	10	28	0	22	5861	0	1
1406	1	30	29	0	10	1980	0	1
1407	1	6	27	0	16	3822	0	1
1408	1	18	25	0	12	2481	0	1
1409	1	19	26	0	26	7708	0	1
1410	1	17	24	0	24	6882	0	1
1411	1	5	21	0	14	3182	0	1
1412	1	47	1	0	28	9422	0	1
1413	1	41	11	0	18	4107	0	1
1414	1	39	2	0	28	9422	0	1
1415	1	36	5	0	28	9422	0	1
1416	1	33	12	0	28	9422	0	1
1417	1	37	20	0	28	9422	0	1
1418	1	38	8	0	22	5861	0	1
1419	1	42	9	0	16	3822	0	1
1420	1	16	23	0	6	1287	0	1
1421	1	32	15	0	24	6882	0	1
1422	1	40	13	0	20	4904	0	1
1423	1	35	18	0	20	4904	0	1
1424	1	43	7	0	18	4107	0	1
1425	1	34	16	0	14	3182	0	1
1426	1	50	17	0	14	3182	0	1
1427	1	48	19	0	14	3182	0	1
1428	1	49	3	0	12	2481	0	1
1429	1	31	4	0	12	2481	0	1
1430	1	46	10	0	12	2481	0	1
1431	1	45	6	0	8	1764	0	1
1432	1	44	14	0	6	1287	0	1
1433	1	11	22	0	6	1287	0	1
1505	1	10	28	0	22	5861	0	1
1506	1	6	27	0	16	3822	0	1
1507	1	30	29	0	10	1980	0	1
1508	1	18	25	0	12	2481	0	1
1509	1	19	26	0	26	7708	0	1
1510	1	17	24	0	24	6882	0	1
1511	1	5	21	0	14	3182	0	1
1512	1	47	1	0	28	9422	0	1
1513	1	41	11	0	18	4107	0	1
1514	1	39	2	0	28	9422	0	1
1515	1	36	5	0	28	9422	0	1
1516	1	33	12	0	28	9422	0	1
1517	1	37	20	0	28	9422	0	1
1518	1	38	8	0	22	5861	0	1
1519	1	42	9	0	16	3822	0	1
1520	1	32	15	0	24	6882	0	1
1521	1	40	13	0	20	4904	0	1
1522	1	16	23	0	6	1287	0	1
1523	1	35	18	0	20	4904	0	1
1524	1	43	7	0	18	4107	0	1
1525	1	34	16	0	14	3182	0	1
1526	1	50	17	0	14	3182	0	1
1527	1	48	19	0	14	3182	0	1
1528	1	31	4	0	12	2481	0	1
1529	1	46	10	0	12	2481	0	1
1530	1	45	6	0	8	1764	0	1
1531	1	44	14	0	6	1287	0	1
1532	1	11	22	0	6	1287	0	1
1533	1	49	3	0	10	1980	0	1
1605	1	10	28	0	22	5861	0	1
1606	1	6	27	0	16	3822	0	1
1607	1	30	29	0	10	1980	0	1
1608	1	18	25	0	12	2481	0	1
1609	1	19	26	0	26	7708	0	1
1610	1	17	24	0	24	6882	0	1
1611	1	5	21	0	14	3182	0	1
1612	1	47	1	0	28	9422	0	1
1613	1	41	11	0	18	4107	0	1
